valuation_id,position_id,instrument_id,valuation_date,value_usd,method,valuation_level,source,confidence_score,recorded_at
VAL-00027,POS-0003,INS-0003,2025-12-31,4015403.38,manager_mark,level_3,manager_report,0.86,2026-01-10
VAL-00028,POS-0003,INS-0003,2025-12-31,4256327.58,manager_mark,level_3,manager_report,0.95,2026-02-24
VAL-00029,POS-0003,INS-0003,2026-03-31,3819726.18,manager_mark,level_3,manager_report,0.80,2026-04-10
VAL-00030,POS-0003,INS-0003,2026-03-31,4010712.49,manager_mark,level_3,manager_report,0.95,2026-05-25
VAL-00031,POS-0004,INS-0004,2024-06-30,8213957.85,manager_mark,level_3,manager_report,0.86,2024-07-10
VAL-00032,POS-0004,INS-0004,2024-09-30,7739895.14,manager_mark,level_3,manager_report,0.80,2024-10-10
VAL-00033,POS-0004,INS-0004,2024-12-31,8135729.68,manager_mark,level_3,manager_report,0.79,2025-01-10
VAL-00034,POS-0004,INS-0004,2025-03-31,8043420.44,manager_mark,level_3,manager_report,0.80,2025-04-10
VAL-00035,POS-0004,INS-0004,2025-06-30,8955560.90,manager_mark,level_3,manager_report,0.87,2025-07-10
VAL-00036,POS-0004,INS-0004,2025-09-30,9035353.64,manager_mark,level_3,manager_report,0.76,2025-10-10
VAL-00037,POS-0004,INS-0004,2025-12-31,8936786.14,manager_mark,level_3,manager_report,0.80,2026-01-10
VAL-00038,POS-0004,INS-0004,2025-12-31,9741096.89,manager_mark,level_3,manager_report,0.92,2026-02-24
VAL-00039,POS-0004,INS-0004,2026-03-31,8650471.04,manager_mark,level_3,manager_report,0.87,2026-04-10
VAL-00040,POS-0004,INS-0004,2026-03-31,8909985.17,manager_mark,level_3,manager_report,0.91,2026-05-25
VAL-00041,POS-0005,INS-0005,2024-06-30,1818198.57,manager_mark,level_3,manager_report,0.79,2024-07-10
VAL-00042,POS-0005,INS-0005,2024-09-30,1681238.94,manager_mark,level_3,manager_report,0.77,2024-10-10
VAL-00043,POS-0005,INS-0005,2024-12-31,1802565.46,manager_mark,level_3,manager_report,0.88,2025-01-10
VAL-00044,POS-0005,INS-0005,2025-03-31,1783194.00,manager_mark,level_3,manager_report,0.79,2025-04-10
VAL-00045,POS-0005,INS-0005,2025-06-30,1926950.63,manager_mark,level_3,manager_report,0.85,2025-07-10
VAL-00046,POS-0005,INS-0005,2025-09-30,1794409.06,manager_mark,level_3,manager_report,0.86,2025-10-10
VAL-00047,POS-0005,INS-0005,2025-12-31,1846066.29,manager_mark,level_3,manager_report,0.78,2026-01-10
VAL-00048,POS-0005,INS-0005,2025-12-31,2012212.26,manager_mark,level_3,manager_report,0.94,2026-02-24
VAL-00049,POS-0005,INS-0005,2026-03-31,1879031.76,manager_mark,level_3,manager_report,0.78,2026-04-10
VAL-00050,POS-0005,INS-0005,2026-03-31,1935402.71,manager_mark,level_3,manager_report,0.85,2026-05-25
VAL-00051,POS-0006,INS-0006,2024-06-30,3048396.76,manager_mark,level_3,manager_report,0.83,2024-07-10
VAL-00052,POS-0006,INS-0006,2024-09-30,2816028.40,manager_mark,level_3,manager_report,0.84,2024-10-10
VAL-00053,POS-0006,INS-0006,2024-12-31,2931062.24,manager_mark,level_3,manager_report,0.76,2025-01-10
VAL-00054,POS-0006,INS-0006,2025-03-31,3139848.66,manager_mark,level_3,manager_report,0.77,2025-04-10
VAL-00055,POS-0006,INS-0006,2025-06-30,3199091.09,manager_mark,level_3,manager_report,0.81,2025-07-10
VAL-00056,POS-0006,INS-0006,2025-09-30,3384870.74,manager_mark,level_3,manager_report,0.87,2025-10-10
VAL-00057,POS-0006,INS-0006,2025-12-31,3285366.47,manager_mark,level_3,manager_report,0.79,2026-01-10
VAL-00058,POS-0006,INS-0006,2025-12-31,3548195.79,manager_mark,level_3,manager_report,0.91,2026-02-24
VAL-00059,POS-0006,INS-0006,2026-03-31,3180110.51,manager_mark,level_3,manager_report,0.85,2026-04-10
VAL-00060,POS-0006,INS-0006,2026-03-31,3434519.35,manager_mark,level_3,manager_report,0.94,2026-05-25
VAL-00061,POS-0007,INS-0007,2024-06-30,1722293.04,manager_mark,level_3,manager_report,0.76,2024-07-10
VAL-00062,POS-0007,INS-0007,2024-09-30,1689172.02,manager_mark,level_3,manager_report,0.84,2024-10-10
VAL-00063,POS-0007,INS-0007,2024-12-31,1739515.97,manager_mark,level_3,manager_report,0.82,2025-01-10
VAL-00064,POS-0007,INS-0007,2025-03-31,1737859.92,manager_mark,level_3,manager_report,0.75,2025-04-10
VAL-00065,POS-0007,INS-0007,2025-06-30,1913732.54,manager_mark,level_3,manager_report,0.88,2025-07-10
VAL-00066,POS-0007,INS-0007,2025-09-30,1912738.90,manager_mark,level_3,manager_report,0.84,2025-10-10
VAL-00067,POS-0007,INS-0007,2025-12-31,1873324.89,manager_mark,level_3,manager_report,0.86,2026-01-10
VAL-00068,POS-0007,INS-0007,2025-12-31,1910791.39,manager_mark,level_3,manager_report,0.88,2026-02-24
VAL-00069,POS-0007,INS-0007,2026-03-31,1887898.14,manager_mark,level_3,manager_report,0.76,2026-04-10
VAL-00070,POS-0007,INS-0007,2026-03-31,2001172.03,manager_mark,level_3,manager_report,0.95,2026-05-25
VAL-00071,POS-0008,INS-0008,2024-06-30,5893849.17,manager_mark,level_3,manager_report,0.81,2024-07-10
VAL-00072,POS-0008,INS-0008,2024-09-30,6133175.17,manager_mark,level_3,manager_report,0.82,2024-10-10
VAL-00073,POS-0008,INS-0008,2024-12-31,6191518.32,manager_mark,level_3,manager_report,0.79,2025-01-10
VAL-00074,POS-0008,INS-0008,2025-03-31,6247480.12,manager_mark,level_3,manager_report,0.77,2025-04-10
VAL-00075,POS-0008,INS-0008,2025-06-30,6751136.32,manager_mark,level_3,manager_report,0.88,2025-07-10
VAL-00076,POS-0008,INS-0008,2025-09-30,6352259.66,manager_mark,level_3,manager_report,0.84,2025-10-10
VAL-00077,POS-0008,INS-0008,2025-12-31,7067856.30,manager_mark,level_3,manager_report,0.82,2026-01-10
VAL-00078,POS-0008,INS-0008,2025-12-31,7703963.37,manager_mark,level_3,manager_report,0.86,2026-02-24
VAL-00079,POS-0008,INS-0008,2026-03-31,7058330.88,manager_mark,level_3,manager_report,0.83,2026-04-10
VAL-00080,POS-0008,INS-0008,2026-03-31,7199497.50,manager_mark,level_3,manager_report,0.90,2026-05-25
VAL-00081,POS-0009,INS-0009,2024-06-30,5419355.30,manager_mark,level_3,manager_report,0.77,2024-07-10
VAL-00082,POS-0009,INS-0009,2024-09-30,5635077.21,manager_mark,level_3,manager_report,0.84,2024-10-10
VAL-00083,POS-0009,INS-0009,2024-12-31,5800288.62,manager_mark,level_3,manager_report,0.78,2025-01-10
VAL-00084,POS-0009,INS-0009,2025-03-31,5911832.64,manager_mark,level_3,manager_report,0.80,2025-04-10
VAL-00085,POS-0009,INS-0009,2025-06-30,5455133.57,manager_mark,level_3,manager_report,0.83,2025-07-10
VAL-00086,POS-0009,INS-0009,2025-09-30,6077044.05,manager_mark,level_3,manager_report,0.85,2025-10-10
VAL-00087,POS-0009,INS-0009,2025-12-31,6128606.85,manager_mark,level_3,manager_report,0.82,2026-01-10
VAL-00088,POS-0009,INS-0009,2025-12-31,6251178.99,manager_mark,level_3,manager_report,0.93,2026-02-24
VAL-00089,POS-0009,INS-0009,2026-03-31,6358008.68,manager_mark,level_3,manager_report,0.86,2026-04-10
VAL-00090,POS-0009,INS-0009,2026-03-31,6866649.37,manager_mark,level_3,manager_report,0.93,2026-05-25
VAL-00091,POS-0010,INS-0010,2024-06-30,7993447.87,manager_mark,level_3,manager_report,0.88,2024-07-10
VAL-00092,POS-0010,INS-0010,2024-09-30,8074158.41,manager_mark,level_3,manager_report,0.83,2024-10-10
VAL-00093,POS-0010,INS-0010,2024-12-31,8232475.24,manager_mark,level_3,manager_report,0.79,2025-01-10
VAL-00094,POS-0010,INS-0010,2025-03-31,8473054.74,manager_mark,level_3,manager_report,0.88,2025-04-10
VAL-00095,POS-0010,INS-0010,2025-06-30,8968182.87,manager_mark,level_3,manager_report,0.87,2025-07-10
VAL-00096,POS-0010,INS-0010,2025-09-30,9134260.33,manager_mark,level_3,manager_report,0.88,2025-10-10
VAL-00097,POS-0010,INS-0010,2025-12-31,8865742.57,manager_mark,level_3,manager_report,0.78,2026-01-10
VAL-00098,POS-0010,INS-0010,2025-12-31,9397687.12,manager_mark,level_3,manager_report,0.88,2026-02-24
VAL-00099,POS-0010,INS-0010,2026-03-31,9466415.25,manager_mark,level_3,manager_report,0.87,2026-04-10
VAL-00100,POS-0010,INS-0010,2026-03-31,10318392.62,manager_mark,level_3,manager_report,0.85,2026-05-25
VAL-00101,POS-0011,INS-0011,2024-06-30,1909368.24,manager_mark,level_3,manager_report,0.84,2024-07-10
VAL-00102,POS-0011,INS-0011,2024-09-30,2003735.09,manager_mark,level_3,manager_report,0.79,2024-10-10
VAL-00103,POS-0011,INS-0011,2024-12-31,1852087.19,manager_mark,level_3,manager_report,0.76,2025-01-10
VAL-00104,POS-0011,INS-0011,2025-03-31,1926625.99,manager_mark,level_3,manager_report,0.77,2025-04-10
VAL-00105,POS-0011,INS-0011,2025-06-30,2022461.59,manager_mark,level_3,manager_report,0.85,2025-07-10
VAL-00106,POS-0011,INS-0011,2025-09-30,2080109.82,manager_mark,level_3,manager_report,0.77,2025-10-10
VAL-00107,POS-0011,INS-0011,2025-12-31,2138492.43,manager_mark,level_3,manager_report,0.87,2026-01-10
VAL-00108,POS-0011,INS-0011,2025-12-31,2309571.82,manager_mark,level_3,manager_report,0.94,2026-02-24
VAL-00109,POS-0011,INS-0011,2026-03-31,2030172.50,manager_mark,level_3,manager_report,0.88,2026-04-10
VAL-00110,POS-0011,INS-0011,2026-03-31,2172284.58,manager_mark,level_3,manager_report,0.92,2026-05-25
VAL-00111,POS-0012,INS-0012,2024-06-30,1285737.46,manager_mark,level_3,manager_report,0.79,2024-07-10
VAL-00112,POS-0012,INS-0012,2024-09-30,1378363.04,manager_mark,level_3,manager_report,0.86,2024-10-10
VAL-00113,POS-0012,INS-0012,2024-12-31,1364456.08,manager_mark,level_3,manager_report,0.80,2025-01-10
VAL-00114,POS-0012,INS-0012,2025-03-31,1348974.75,manager_mark,level_3,manager_report,0.78,2025-04-10
VAL-00115,POS-0012,INS-0012,2025-06-30,1416935.16,manager_mark,level_3,manager_report,0.81,2025-07-10
VAL-00116,POS-0012,INS-0012,2025-09-30,1544196.93,manager_mark,level_3,manager_report,0.78,2025-10-10
VAL-00117,POS-0012,INS-0012,2025-12-31,1469414.24,manager_mark,level_3,manager_report,0.79,2026-01-10
VAL-00118,POS-0012,INS-0012,2025-12-31,1557579.09,manager_mark,level_3,manager_report,0.95,2026-02-24
VAL-00119,POS-0012,INS-0012,2026-03-31,1480697.24,manager_mark,level_3,manager_report,0.84,2026-04-10
VAL-00120,POS-0012,INS-0012,2026-03-31,1584346.05,manager_mark,level_3,manager_report,0.89,2026-05-25
VAL-00121,POS-0013,INS-0013,2024-06-30,8484334.95,manager_mark,level_3,manager_report,0.85,2024-07-10
VAL-00122,POS-0013,INS-0013,2024-09-30,8330506.82,manager_mark,level_3,manager_report,0.76,2024-10-10
VAL-00123,POS-0013,INS-0013,2024-12-31,8411385.53,manager_mark,level_3,manager_report,0.84,2025-01-10
VAL-00124,POS-0013,INS-0013,2025-03-31,8405042.10,manager_mark,level_3,manager_report,0.77,2025-04-10
VAL-00125,POS-0013,INS-0013,2025-06-30,8649264.08,manager_mark,level_3,manager_report,0.83,2025-07-10
VAL-00126,POS-0013,INS-0013,2025-09-30,8896657.77,manager_mark,level_3,manager_report,0.86,2025-10-10
VAL-00127,POS-0013,INS-0013,2025-12-31,9502455.14,manager_mark,level_3,manager_report,0.83,2026-01-10
VAL-00128,POS-0013,INS-0013,2025-12-31,10072602.45,manager_mark,level_3,manager_report,0.95,2026-02-24
VAL-00129,POS-0013,INS-0013,2026-03-31,9491354.14,manager_mark,level_3,manager_report,0.79,2026-04-10
VAL-00130,POS-0013,INS-0013,2026-03-31,10060835.39,manager_mark,level_3,manager_report,0.86,2026-05-25
VAL-00131,POS-0014,INS-0014,2024-06-30,4355565.90,manager_mark,level_3,manager_report,0.88,2024-07-10
VAL-00132,POS-0014,INS-0014,2024-09-30,4061876.31,manager_mark,level_3,manager_report,0.83,2024-10-10
VAL-00133,POS-0014,INS-0014,2024-12-31,4141520.95,manager_mark,level_3,manager_report,0.76,2025-01-10
VAL-00134,POS-0014,INS-0014,2025-03-31,4616899.85,manager_mark,level_3,manager_report,0.75,2025-04-10
VAL-00135,POS-0014,INS-0014,2025-06-30,4569610.85,manager_mark,level_3,manager_report,0.86,2025-07-10
VAL-00136,POS-0014,INS-0014,2025-09-30,4471714.32,manager_mark,level_3,manager_report,0.83,2025-10-10
VAL-00137,POS-0014,INS-0014,2025-12-31,4553018.22,manager_mark,level_3,manager_report,0.81,2026-01-10
VAL-00138,POS-0014,INS-0014,2025-12-31,4962789.86,manager_mark,level_3,manager_report,0.91,2026-02-24
VAL-00139,POS-0014,INS-0014,2026-03-31,4918056.12,manager_mark,level_3,manager_report,0.75,2026-04-10
VAL-00140,POS-0014,INS-0014,2026-03-31,5114778.36,manager_mark,level_3,manager_report,0.90,2026-05-25
VAL-00141,POS-0015,INS-0015,2024-06-30,6667032.22,appraisal,level_3,appraiser,,2024-07-10
VAL-00142,POS-0015,INS-0015,2024-09-30,7069694.56,appraisal,level_3,appraiser,,2024-10-10
VAL-00143,POS-0015,INS-0015,2024-12-31,6727761.62,appraisal,level_3,appraiser,,2025-01-10
VAL-00144,POS-0015,INS-0015,2025-03-31,6787170.82,appraisal,level_3,appraiser,,2025-04-10
VAL-00145,POS-0015,INS-0015,2025-06-30,7485558.95,appraisal,level_3,appraiser,,2025-07-10
VAL-00146,POS-0015,INS-0015,2025-09-30,7551569.17,appraisal,level_3,appraiser,,2025-10-10
VAL-00147,POS-0015,INS-0015,2025-12-31,7467076.09,appraisal,level_3,appraiser,,2026-01-10
VAL-00148,POS-0015,INS-0015,2025-12-31,8064442.18,appraisal,level_3,appraiser,,2026-02-24
VAL-00149,POS-0015,INS-0015,2026-03-31,7449913.43,appraisal,level_3,appraiser,,2026-04-10
VAL-00150,POS-0015,INS-0015,2026-03-31,7971407.37,appraisal,level_3,appraiser,,2026-05-25
VAL-00151,POS-0016,INS-0016,2024-06-30,1914169.01,appraisal,level_3,appraiser,,2024-07-10
VAL-00152,POS-0016,INS-0016,2024-09-30,1769980.20,appraisal,level_3,appraiser,,2024-10-10
VAL-00153,POS-0016,INS-0016,2024-12-31,1916315.74,appraisal,level_3,appraiser,,2025-01-10
VAL-00154,POS-0016,INS-0016,2025-03-31,1972130.76,appraisal,level_3,appraiser,,2025-04-10
VAL-00155,POS-0016,INS-0016,2025-06-30,1932058.44,appraisal,level_3,appraiser,,2025-07-10
VAL-00156,POS-0016,INS-0016,2025-09-30,2085907.54,appraisal,level_3,appraiser,,2025-10-10
VAL-00157,POS-0016,INS-0016,2025-12-31,2063724.64,appraisal,level_3,appraiser,,2026-01-10
VAL-00158,POS-0016,INS-0016,2025-12-31,2249459.86,appraisal,level_3,appraiser,,2026-02-24
VAL-00159,POS-0016,INS-0016,2026-03-31,2039395.02,appraisal,level_3,appraiser,,2026-04-10
VAL-00160,POS-0016,INS-0016,2026-03-31,2202546.62,appraisal,level_3,appraiser,,2026-05-25
VAL-00161,POS-0017,INS-0017,2024-06-30,7628144.46,appraisal,level_3,appraiser,,2024-07-10
VAL-00162,POS-0017,INS-0017,2024-09-30,7399300.13,appraisal,level_3,appraiser,,2024-10-10
VAL-00163,POS-0017,INS-0017,2024-12-31,8088824.56,appraisal,level_3,appraiser,,2025-01-10
VAL-00164,POS-0017,INS-0017,2025-03-31,8085833.13,appraisal,level_3,appraiser,,2025-04-10
VAL-00165,POS-0017,INS-0017,2025-06-30,7915321.66,appraisal,level_3,appraiser,,2025-07-10
VAL-00166,POS-0017,INS-0017,2025-09-30,8637751.82,appraisal,level_3,appraiser,,2025-10-10
VAL-00167,POS-0017,INS-0017,2025-12-31,8543521.80,appraisal,level_3,appraiser,,2026-01-10
VAL-00168,POS-0017,INS-0017,2025-12-31,9141568.33,appraisal,level_3,appraiser,,2026-02-24
VAL-00169,POS-0017,INS-0017,2026-03-31,8866596.15,appraisal,level_3,appraiser,,2026-04-10
VAL-00170,POS-0017,INS-0017,2026-03-31,9575923.84,appraisal,level_3,appraiser,,2026-05-25
VAL-00171,POS-0018,INS-0018,2024-06-30,7211168.34,appraisal,level_3,appraiser,,2024-07-10
VAL-00172,POS-0018,INS-0018,2024-09-30,7147220.24,appraisal,level_3,appraiser,,2024-10-10
VAL-00173,POS-0018,INS-0018,2024-12-31,6862855.30,appraisal,level_3,appraiser,,2025-01-10
VAL-00174,POS-0018,INS-0018,2025-03-31,7211168.34,appraisal,level_3,appraiser,,2025-04-10
VAL-00175,POS-0018,INS-0018,2025-06-30,7420700.40,appraisal,level_3,appraiser,,2025-07-10
VAL-00176,POS-0018,INS-0018,2025-09-30,7857452.30,appraisal,level_3,appraiser,,2025-10-10
VAL-00177,POS-0018,INS-0018,2025-12-31,8000315.06,appraisal,level_3,appraiser,,2026-01-10
VAL-00178,POS-0018,INS-0018,2025-12-31,8320327.66,appraisal,level_3,appraiser,,2026-02-24
VAL-00179,POS-0018,INS-0018,2026-03-31,8220731.91,appraisal,level_3,appraiser,,2026-04-10
VAL-00180,POS-0018,INS-0018,2026-03-31,8713975.82,appraisal,level_3,appraiser,,2026-05-25
VAL-00181,POS-0019,INS-0019,2024-06-30,5256526.94,appraisal,level_3,appraiser,,2024-07-10
VAL-00182,POS-0019,INS-0019,2024-09-30,4910676.94,appraisal,level_3,appraiser,,2024-10-10
VAL-00183,POS-0019,INS-0019,2024-12-31,4955873.25,appraisal,level_3,appraiser,,2025-01-10
VAL-00184,POS-0019,INS-0019,2025-03-31,5363622.54,appraisal,level_3,appraiser,,2025-04-10
VAL-00185,POS-0019,INS-0019,2025-06-30,5411766.43,appraisal,level_3,appraiser,,2025-07-10
VAL-00186,POS-0019,INS-0019,2025-09-30,5403906.20,appraisal,level_3,appraiser,,2025-10-10
VAL-00187,POS-0019,INS-0019,2025-12-31,5392115.86,appraisal,level_3,appraiser,,2026-01-10
VAL-00188,POS-0019,INS-0019,2025-12-31,5661721.65,appraisal,level_3,appraiser,,2026-02-24
VAL-00189,POS-0019,INS-0019,2026-03-31,5880432.47,appraisal,level_3,appraiser,,2026-04-10
VAL-00190,POS-0019,INS-0019,2026-03-31,6115649.77,appraisal,level_3,appraiser,,2026-05-25
VAL-00191,POS-0020,INS-0020,2024-06-30,3769484.99,appraisal,level_3,appraiser,,2024-07-10
VAL-00192,POS-0020,INS-0020,2024-09-30,4003426.22,appraisal,level_3,appraiser,,2024-10-10
VAL-00193,POS-0020,INS-0020,2024-12-31,4284000.26,appraisal,level_3,appraiser,,2025-01-10
VAL-00194,POS-0020,INS-0020,2025-03-31,4407577.19,appraisal,level_3,appraiser,,2025-04-10
VAL-00195,POS-0020,INS-0020,2025-06-30,4364830.45,appraisal,level_3,appraiser,,2025-07-10
VAL-00196,POS-0020,INS-0020,2025-09-30,4573900.86,appraisal,level_3,appraiser,,2025-10-10
VAL-00197,POS-0020,INS-0020,2025-12-31,4526490.84,appraisal,level_3,appraiser,,2026-01-10
VAL-00198,POS-0020,INS-0020,2025-12-31,4843345.20,appraisal,level_3,appraiser,,2026-02-24
VAL-00199,POS-0020,INS-0020,2026-03-31,4651622.20,appraisal,level_3,appraiser,,2026-04-10
VAL-00200,POS-0020,INS-0020,2026-03-31,5070268.20,appraisal,level_3,appraiser,,2026-05-25
VAL-00201,POS-0021,,2024-04-30,7425130.56,observable_price,level_1,pricing_feed,,2024-05-10
VAL-00202,POS-0021,,2024-05-31,7968093.23,observable_price,level_1,pricing_feed,,2024-06-10
VAL-00203,POS-0021,,2024-06-30,8526524.93,observable_price,level_1,pricing_feed,,2024-07-10
VAL-00204,POS-0021,,2024-07-31,8526524.93,observable_price,level_1,pricing_feed,,2024-08-10
VAL-00205,POS-0021,,2024-08-31,8687402.76,observable_price,level_1,pricing_feed,,2024-09-10
VAL-00206,POS-0021,,2024-09-30,8167643.62,observable_price,level_1,pricing_feed,,2024-10-10
VAL-00207,POS-0021,,2024-10-31,9182411.46,observable_price,level_1,pricing_feed,,2024-11-10
VAL-00208,POS-0021,,2024-11-30,8464648.84,observable_price,level_1,pricing_feed,,2024-12-10
VAL-00209,POS-0021,,2024-12-31,8702871.78,observable_price,level_1,pricing_feed,,2025-01-10
VAL-00210,POS-0021,,2025-01-31,9035455.75,observable_price,level_1,pricing_feed,,2025-02-10
VAL-00211,POS-0021,,2025-02-28,9002970.80,observable_price,level_1,pricing_feed,,2025-03-10
VAL-00212,POS-0021,,2025-03-31,9436103.42,observable_price,level_1,pricing_feed,,2025-04-10
VAL-00213,POS-0021,,2025-04-30,10262149.19,observable_price,level_1,pricing_feed,,2025-05-10
VAL-00214,POS-0021,,2025-05-31,9842938.70,observable_price,level_1,pricing_feed,,2025-06-10
VAL-00215,POS-0021,,2025-06-30,10593186.27,observable_price,level_1,pricing_feed,,2025-07-10
VAL-00216,POS-0021,,2025-07-31,10457058.87,observable_price,level_1,pricing_feed,,2025-08-10
VAL-00217,POS-0021,,2025-08-31,10413745.61,observable_price,level_1,pricing_feed,,2025-09-10
VAL-00218,POS-0021,,2025-09-30,11089741.87,observable_price,level_1,pricing_feed,,2025-10-10
VAL-00219,POS-0021,,2025-10-31,10203366.91,observable_price,level_1,pricing_feed,,2025-11-10
VAL-00220,POS-0021,,2025-11-30,10246680.17,observable_price,level_1,pricing_feed,,2025-12-10
VAL-00221,POS-0021,,2025-12-31,11369731.17,observable_price,level_1,pricing_feed,,2026-01-10
VAL-00222,POS-0021,,2026-01-31,10763345.51,observable_price,level_1,pricing_feed,,2026-02-10
VAL-00223,POS-0021,,2026-02-28,11137695.84,observable_price,level_1,pricing_feed,,2026-03-10
VAL-00224,POS-0021,,2026-03-31,11179462.20,observable_price,level_1,pricing_feed,,2026-04-10
VAL-00225,POS-0022,,2024-04-30,1928423.30,observable_price,level_1,pricing_feed,,2024-05-10
VAL-00226,POS-0022,,2024-05-31,1869615.94,observable_price,level_1,pricing_feed,,2024-06-10
VAL-00227,POS-0022,,2024-06-30,2104845.39,observable_price,level_1,pricing_feed,,2024-07-10
VAL-00228,POS-0022,,2024-07-31,2165562.09,observable_price,level_1,pricing_feed,,2024-08-10
VAL-00229,POS-0022,,2024-08-31,2000214.11,observable_price,level_1,pricing_feed,,2024-09-10
VAL-00230,POS-0022,,2024-09-30,2205276.15,observable_price,level_1,pricing_feed,,2024-10-10
VAL-00231,POS-0022,,2024-10-31,2138449.60,observable_price,level_1,pricing_feed,,2024-11-10
VAL-00232,POS-0022,,2024-11-30,2220168.92,observable_price,level_1,pricing_feed,,2024-12-10
VAL-00233,POS-0022,,2024-12-31,2369860.40,observable_price,level_1,pricing_feed,,2025-01-10
VAL-00234,POS-0022,,2025-01-31,2253009.40,observable_price,level_1,pricing_feed,,2025-02-10
VAL-00235,POS-0022,,2025-02-28,2199548.16,observable_price,level_1,pricing_feed,,2025-03-10
VAL-00236,POS-0022,,2025-03-31,2259501.12,observable_price,level_1,pricing_feed,,2025-04-10
VAL-00237,POS-0022,,2025-04-30,2391244.89,observable_price,level_1,pricing_feed,,2025-05-10
VAL-00238,POS-0022,,2025-05-31,2550101.15,observable_price,level_1,pricing_feed,,2025-06-10
VAL-00239,POS-0022,,2025-06-30,2346184.70,observable_price,level_1,pricing_feed,,2025-07-10
VAL-00240,POS-0022,,2025-07-31,2482129.00,observable_price,level_1,pricing_feed,,2025-08-10
VAL-00241,POS-0022,,2025-08-31,2671534.54,observable_price,level_1,pricing_feed,,2025-09-10
VAL-00242,POS-0022,,2025-09-30,2686427.31,observable_price,level_1,pricing_feed,,2025-10-10
VAL-00243,POS-0022,,2025-10-31,2648622.58,observable_price,level_1,pricing_feed,,2025-11-10
VAL-00244,POS-0022,,2025-11-30,2582177.89,observable_price,level_1,pricing_feed,,2025-12-10
VAL-00245,POS-0022,,2025-12-31,2699792.62,observable_price,level_1,pricing_feed,,2026-01-10
VAL-00246,POS-0022,,2026-01-31,2765473.57,observable_price,level_1,pricing_feed,,2026-02-10
VAL-00247,POS-0022,,2026-02-28,2721940.85,observable_price,level_1,pricing_feed,,2026-03-10
VAL-00248,POS-0022,,2026-03-31,2982755.33,observable_price,level_1,pricing_feed,,2026-04-10
VAL-00249,POS-0023,,2024-04-30,5878038.87,observable_price,level_1,pricing_feed,,2024-05-10
